0, -45.52, -175.12, 0
1, 68.58, 33.05, 0
2, 64.34, 40.32, 0
3, 59.55, 30.15, 0
4, 59.25, 24.45, 0
5, 56.57, 24.06, 1
6, 54.43, 20.3, 0
7, 54.41, 25.19, 0
8, 53.54, 27.34, 0
9, 49.5, 24, 0
10, 50.26, 30.31, 1
11, 46.28, 30.44, 0
12, 55.45, 37.35, 0
13, 56.2, 44, 0
14, 55.45, 49.08, 0
15, 53.12, 50.09, 1
16, 51.4, 39.1, 0
17, 50, 36.15, 0
18, 48.27, 34.59, 0
19, 44.36, 33.32, 0
20, 47.14, 39.42, 1
21, 48.44, 44.25, 0
22, 46.21, 48.03, 0
23, 41.43, 44.49, 0
24, 40.11, 44.3, 0
25, 40.23, 49.51, 1
26, 58, 56.15, 0
27, 56.51, 60.36, 0
28, 67.27, 63.58, 0
29, 69.2, 88.06, 1
30, 55, 73.24, 1
31, 55.02, 82.55, 1
32, 56.01, 92.5, 1
33, 49.5, 73.1, 0
34, 43.15, 76.57, 0
35, 41.2, 69.18, 1
36, 39.4, 66.48, 0
37, 38.35, 68.48, 0
38, 43.48, 87.35, 1
39, 52.16, 104.2, 1
40, 47.55, 106.53, 1
41, 52.03, 113.3, 1
42, 62.13, 129.49, 1
43, 64.45, 177.29, 1
44, 53.01, 158.39, 1
45, 59.34, 150.48, 1
46, 50.17, 127.32, 1
47, 50.35, 137.02, 1
48, 48.27, 135.06, 1
49, 46.58, 142.42, 1
50, 43.1, 131.56, 1
51, 41.01, 28.58, 0
52, 38.25, 27.09, 0
53, 39.56, 32.52, 0
54, 38.43, 35.3, 0
55, 39.45, 37.02, 1
56, 39.55, 41.17, 0
57, 37.55, 40.14, 0
58, 37.01, 35.18, 0
59, 36.12, 37.1, 0
60, 34.44, 36.43, 1
61, 33.3, 36.18, 0
62, 33.53, 35.3, 0
63, 31.57, 35.56, 0
64, 32.5, 35, 0
65, 32.04, 34.46, 1
66, 31.46, 35.14, 0
67, 24.28, 39.36, 0
68, 21.3, 39.12, 0
69, 21.27, 39.49, 0
70, 15.23, 44.12, 1
71, 14.48, 42.57, 0
72, 12.45, 45.12, 0
73, 14.32, 49.08, 0
74, 23.37, 58.35, 0
75, 25.18, 55.18, 1
76, 25.17, 51.32, 0
77, 26.13, 50.35, 0
78, 24.38, 46.43, 0
79, 29.2, 47.59, 0
80, 30.3, 47.47, 1
81, 33.21, 44.25, 0
82, 35.28, 44.28, 0
83, 36.2, 43.08, 0
84, 38.05, 46.18, 0
85, 37.16, 49.36, 1
86, 35.4, 51.26, 0
87, 34.19, 47.04, 0
88, 30.2, 48.16, 0
